year_month,destination_region,origin_region,arriving_passengers
2004-08,Central-West,South,19364
2004-08,Central-West,Southeast,186315
2004-08,North,Central-West,43146
2004-08,North,North,94967
2004-08,North,Northeast,10894
2004-08,North,South,231
2004-08,North,Southeast,22968
2004-08,Northeast,Central-West,62885
2004-08,Northeast,North,10424
2004-08,Northeast,Northeast,203531
2004-08,Northeast,South,7702
2004-08,Northeast,Southeast,175187
2004-08,South,Central-West,19697
2004-08,South,North,317
2004-08,South,Northeast,7946
2004-08,South,South,97810
2004-08,South,Southeast,238599
2004-08,Southeast,Central-West,186569
2004-08,Southeast,North,21535
2004-08,Southeast,Northeast,193306
2004-08,Southeast,South,238205
2004-08,Southeast,Southeast,745292
2004-09,Central-West,Central-West,52707
2004-09,Central-West,North,43451
2004-09,Central-West,Northeast,56987
2004-09,Central-West,South,18079
2004-09,Central-West,Southeast,173348
2004-09,North,Central-West,41992
2004-09,North,North,88726
2004-09,North,Northeast,9602
2004-09,North,South,239
2004-09,North,Southeast,24659
2004-09,Northeast,Central-West,59069
2004-09,Northeast,North,9887
2004-09,Northeast,Northeast,187947
2004-09,Northeast,South,8746
2004-09,Northeast,Southeast,187776
2004-09,South,Central-West,18939
2004-09,South,North,382
2004-09,South,Northeast,8858
2004-09,South,South,89982
2004-09,South,Southeast,234495
2004-09,Southeast,Central-West,170219
2004-09,Southeast,North,22355
2004-09,Southeast,Northeast,183678
2004-09,Southeast,South,237140
2004-09,Southeast,Southeast,716958
2004-10,Central-West,Central-West,52320
2004-10,Central-West,North,44415
2004-10,Central-West,Northeast,62983
2004-10,Central-West,South,18077
2004-10,Central-West,Southeast,180936
2004-10,North,Central-West,41284
2004-10,North,North,93448
2004-10,North,Northeast,9726
2004-10,North,South,223
2004-10,North,Southeast,25288
2004-10,Northeast,Central-West,63531
2004-10,Northeast,North,10354
2004-10,Northeast,Northeast,191318
2004-10,Northeast,South,9731
2004-10,Northeast,Southeast,230023
2004-10,South,Central-West,19802
2004-10,South,North,380
2004-10,South,Northeast,8910
2004-10,South,South,88703
2004-10,South,Southeast,254167
2004-10,Southeast,Central-West,178757
2004-10,Southeast,North,23925
2004-10,Southeast,Northeast,223873
2004-10,Southeast,South,251112
2004-10,Southeast,Southeast,732131
2004-11,Central-West,Central-West,52815
2004-11,Central-West,North,44349
2004-11,Central-West,Northeast,63842
2004-11,Central-West,South,21734
2004-11,Central-West,Southeast,181039
2004-11,North,Central-West,41180
2004-11,North,North,89141
2004-11,North,Northeast,9564
2004-11,North,South,213
2004-11,North,Southeast,25957
2004-11,Northeast,Central-West,57605
2004-11,Northeast,North,9247
2004-11,Northeast,Northeast,186346
2004-11,Northeast,South,7958
2004-11,Northeast,Southeast,194802
2004-11,South,Central-West,21793
2004-11,South,North,521
2004-11,South,Northeast,7934
2004-11,South,South,94097
2004-11,South,Southeast,250172
2004-11,Southeast,Central-West,166801
2004-11,Southeast,North,25604
2004-11,Southeast,Northeast,202312
2004-11,Southeast,South,250168
2004-11,Southeast,Southeast,731976
2004-12,Central-West,Central-West,56298
2004-12,Central-West,North,49652
2004-12,Central-West,Northeast,57256
2004-12,Central-West,South,21871
2004-12,Central-West,Southeast,164517
2004-12,North,Central-West,37460
2004-12,North,North,111064
2004-12,North,Northeast,8680
2004-12,North,South,240
2004-12,North,Southeast,25703
2004-12,Northeast,Central-West,75557
2004-12,Northeast,North,12777
2004-12,Northeast,Northeast,189517
2004-12,Northeast,South,9158
2004-12,Northeast,Southeast,261039
2004-12,South,Central-West,26954
2004-12,South,North,390
2004-12,South,Northeast,9601
2004-12,South,South,98795
2004-12,South,Southeast,257848
2004-12,Southeast,Central-West,177161
2004-12,Southeast,North,31514
2004-12,Southeast,Northeast,200947
2004-12,Southeast,South,236049
2004-12,Southeast,Southeast,727897
2005-01,Central-West,Central-West,55336
2005-01,Central-West,North,45415
2005-01,Central-West,Northeast,93076
2005-01,Central-West,South,22821
2005-01,Central-West,Southeast,173820
2005-01,North,Central-West,47844
2005-01,North,North,115439
2005-01,North,Northeast,16229
2005-01,North,South,266
2005-01,North,Southeast,30933
2005-01,Northeast,Central-West,83480
2005-01,Northeast,North,14924
2005-01,Northeast,Northeast,228809
2005-01,Northeast,South,13194
2005-01,Northeast,Southeast,309826
2005-01,South,Central-West,21344
2005-01,South,North,509
2005-01,South,Northeast,11109
2005-01,South,South,89605
2005-01,South,Southeast,251737
2005-01,Southeast,Central-West,153281
2005-01,Southeast,North,27811
2005-01,Southeast,Northeast,335302
2005-01,Southeast,South,283612
2005-01,Southeast,Southeast,689296
2005-02,Central-West,Central-West,52098
2005-02,Central-West,North,37578
2005-02,Central-West,Northeast,67357
2005-02,Central-West,South,19056
2005-02,Central-West,Southeast,149275
2005-02,North,Central-West,42011
2005-02,North,North,91864
2005-02,North,Northeast,14651
2005-02,North,South,153
2005-02,North,Southeast,26544
2005-02,Northeast,Central-West,53514
2005-02,Northeast,North,11033
2005-02,Northeast,Northeast,187694
2005-02,Northeast,South,8877
2005-02,Northeast,Southeast,217121
2005-02,South,Central-West,19839
2005-02,South,North,242
2005-02,South,Northeast,9500
2005-02,South,South,84163
2005-02,South,Southeast,226829
2005-02,Southeast,Central-West,143676
2005-02,Southeast,North,23205
2005-02,Southeast,Northeast,251309
2005-02,Southeast,South,241912
2005-02,Southeast,Southeast,642472
2005-03,Central-West,Central-West,66412
2005-03,Central-West,North,44525
