year_month,destination_region,origin_region,arriving_passengers
2008-11,Northeast,Southeast,337292
2008-11,South,Central-West,44315
2008-11,South,North,1227
2008-11,South,Northeast,9940
2008-11,South,South,133566
2008-11,South,Southeast,332832
2008-11,Southeast,Central-West,258127
2008-11,Southeast,North,41740
2008-11,Southeast,Northeast,339231
2008-11,Southeast,South,326448
2008-11,Southeast,Southeast,858694
2008-12,Central-West,Central-West,102032
2008-12,Central-West,North,83108
2008-12,Central-West,Northeast,106653
2008-12,Central-West,South,44294
2008-12,Central-West,Southeast,277290
2008-12,North,Central-West,70932
2008-12,North,North,166638
2008-12,North,Northeast,18814
2008-12,North,South,1640
2008-12,North,Southeast,42253
2008-12,Northeast,Central-West,159340
2008-12,Northeast,North,27215
2008-12,Northeast,Northeast,286495
2008-12,Northeast,South,12799
2008-12,Northeast,Southeast,475793
2008-12,South,Central-West,52776
2008-12,South,North,2099
2008-12,South,Northeast,12133
2008-12,South,South,131955
2008-12,South,Southeast,370096
2008-12,Southeast,Central-West,306390
2008-12,Southeast,North,53657
2008-12,Southeast,Northeast,359197
2008-12,Southeast,South,332219
2008-12,Southeast,Southeast,870149
2009-01,Central-West,Central-West,104594
2009-01,Central-West,North,76593
2009-01,Central-West,Northeast,174317
2009-01,Central-West,South,49758
2009-01,Central-West,Southeast,299339
2009-01,North,Central-West,87196
2009-01,North,North,168576
2009-01,North,Northeast,30412
2009-01,North,South,2578
2009-01,North,Southeast,56629
2009-01,Northeast,Central-West,154148
2009-01,Northeast,North,25818
2009-01,Northeast,Northeast,313670
2009-01,Northeast,South,19265
2009-01,Northeast,Southeast,507372
2009-01,South,Central-West,38021
2009-01,South,North,1737
2009-01,South,Northeast,18568
2009-01,South,South,119257
2009-01,South,Southeast,321563
2009-01,Southeast,Central-West,262414
2009-01,Southeast,North,48178
2009-01,Southeast,Northeast,572913
2009-01,Southeast,South,368268
2009-01,Southeast,Southeast,834970
2009-02,Central-West,Central-West,87128
2009-02,Central-West,North,60088
2009-02,Central-West,Northeast,118105
2009-02,Central-West,South,38289
2009-02,Central-West,Southeast,222611
2009-02,North,Central-West,61983
2009-02,North,North,130220
2009-02,North,Northeast,19774
2009-02,North,South,1283
2009-02,North,Southeast,36910
2009-02,Northeast,Central-West,104148
2009-02,Northeast,North,18685
2009-02,Northeast,Northeast,240854
2009-02,Northeast,South,16255
2009-02,Northeast,Southeast,366746
2009-02,South,Central-West,40435
2009-02,South,North,1194
2009-02,South,Northeast,17119
2009-02,South,South,116431
2009-02,South,Southeast,304627
2009-02,Southeast,Central-West,225527
2009-02,Southeast,North,39195
2009-02,Southeast,Northeast,406486
2009-02,Southeast,South,295095
2009-02,Southeast,Southeast,734566
2009-03,Central-West,Central-West,102179
2009-03,Central-West,North,65884
2009-03,Central-West,Northeast,119539
2009-03,Central-West,South,46252
2009-03,Central-West,Southeast,279572
2009-03,North,Central-West,69280
2009-03,North,North,135575
2009-03,North,Northeast,18535
2009-03,North,South,1144
2009-03,North,Southeast,38737
2009-03,Northeast,Central-West,107996
2009-03,Northeast,North,17017
2009-03,Northeast,Northeast,267201
2009-03,Northeast,South,18564
2009-03,Northeast,Southeast,361820
2009-03,South,Central-West,42840
2009-03,South,North,1085
2009-03,South,Northeast,19951
2009-03,South,South,138035
2009-03,South,Southeast,348681
2009-03,Southeast,Central-West,267289
2009-03,Southeast,North,38312
2009-03,Southeast,Northeast,410244
2009-03,Southeast,South,354168
2009-03,Southeast,Southeast,911482
2009-04,Central-West,Central-West,114508
2009-04,Central-West,North,69433
2009-04,Central-West,Northeast,111108
2009-04,Central-West,South,45467
2009-04,Central-West,Southeast,287328
2009-04,North,Central-West,69994
2009-04,North,North,132993
2009-04,North,Northeast,19472
2009-04,North,South,941
2009-04,North,Southeast,39124
2009-04,Northeast,Central-West,112726
2009-04,Northeast,North,20634
2009-04,Northeast,Northeast,283898
2009-04,Northeast,South,14010
2009-04,Northeast,Southeast,373365
2009-04,South,Central-West,46414
2009-04,South,North,962
2009-04,South,Northeast,15302
2009-04,South,South,144282
2009-04,South,Southeast,360877
2009-04,Southeast,Central-West,293454
2009-04,Southeast,North,41975
2009-04,Southeast,Northeast,390414
2009-04,Southeast,South,370712
2009-04,Southeast,Southeast,932990
2009-05,Central-West,Central-West,117036
2009-05,Central-West,North,73692
2009-05,Central-West,Northeast,110940
2009-05,Central-West,South,48558
2009-05,Central-West,Southeast,290907
2009-05,North,Central-West,75200
2009-05,North,North,138586
2009-05,North,Northeast,19687
2009-05,North,South,850
2009-05,North,Southeast,37894
2009-05,Northeast,Central-West,109766
2009-05,Northeast,North,20258
2009-05,Northeast,Northeast,278266
2009-05,Northeast,South,18995
2009-05,Northeast,Southeast,357563
2009-05,South,Central-West,46680
2009-05,South,North,805
2009-05,South,Northeast,17850
2009-05,South,South,145467
2009-05,South,Southeast,374347
2009-05,Southeast,Central-West,288470
2009-05,Southeast,North,40234
2009-05,Southeast,Northeast,368389
2009-05,Southeast,South,382726
2009-05,Southeast,Southeast,971483
2009-06,Central-West,Central-West,97851
2009-06,Central-West,North,82934
2009-06,Central-West,Northeast,126780
2009-06,Central-West,South,54144
2009-06,Central-West,Southeast,289909
2009-06,North,Central-West,67419
2009-06,North,North,127574
2009-06,North,Northeast,31498
2009-06,North,South,13094
2009-06,North,Southeast,53015
2009-06,Northeast,Central-West,125430
2009-06,Northeast,North,35536
2009-06,Northeast,Northeast,239415
2009-06,Northeast,South,24983
2009-06,Northeast,Southeast,449793
2009-06,South,Central-West,44869
2009-06,South,North,10980
2009-06,South,Northeast,26290
2009-06,South,South,110631
2009-06,South,Southeast,384672
2009-06,Southeast,Central-West,267723
2009-06,Southeast,North,64334
2009-06,Southeast,Northeast,421186
2009-06,Southeast,South,382722
2009-06,Southeast,Southeast,930170
2009-07,Central-West,Central-West,136304
2009-07,Central-West,North,95089
2009-07,Central-West,Northeast,156203
2009-07,Central-West,South,59456
2009-07,Central-West,Southeast,346630
2009-07,North,Central-West,98226
2009-07,North,North,183194
2009-07,North,Northeast,27645
2009-07,North,South,1278
2009-07,North,Southeast,55890
2009-07,Northeast,Central-West,166135
2009-07,Northeast,North,28376
2009-07,Northeast,Northeast,328513
2009-07,Northeast,South,20134
2009-07,Northeast,Southeast,523509
2009-07,South,Central-West,56291
2009-07,South,North,1250
2009-07,South,Northeast,19169
2009-07,South,South,148852
2009-07,South,Southeast,417156
2009-07,Southeast,Central-West,351690
2009-07,Southeast,North,56589
2009-07,Southeast,Northeast,519416
2009-07,Southeast,South,441223
2009-07,Southeast,Southeast,1069405
2009-08,Central-West,Central-West,120992
2009-08,Central-West,North,85550
2009-08,Central-West,Northeast,136838
2009-08,Central-West,South,49882
2009-08,Central-West,Southeast,307955
2009-08,North,Central-West,85402
2009-08,North,North,158772
2009-08,North,Northeast,22717
2009-08,North,South,922
2009-08,North,Southeast,47869
2009-08,Northeast,Central-West,128372
2009-08,Northeast,North,21274
2009-08,Northeast,Northeast,296058
2009-08,Northeast,South,14063
2009-08,Northeast,Southeast,381674
2009-08,South,Central-West,48360
2009-08,South,North,1094
2009-08,South,Northeast,15184
2009-08,South,South,125724
2009-08,South,Southeast,368857
2009-08,Southeast,Central-West,312980
2009-08,Southeast,North,50662
2009-08,Southeast,Northeast,444330
2009-08,Southeast,South,373495
2009-08,Southeast,Southeast,1044656
2009-09,Central-West,Central-West,126723
2009-09,Central-West,North,82359
2009-09,Central-West,Northeast,132758
2009-09,Central-West,South,50123
2009-09,Central-West,Southeast,319485
2009-09,North,Central-West,81409
2009-09,North,North,159058
2009-09,North,Northeast,20532
2009-09,North,South,1281
2009-09,North,Southeast,50930
2009-09,Northeast,Central-West,132887
2009-09,Northeast,North,21118
2009-09,Northeast,Northeast,322116
2009-09,Northeast,South,14954
2009-09,Northeast,Southeast,426525
2009-09,South,Central-West,49011
2009-09,South,North,1258
2009-09,South,Northeast,15480
2009-09,South,South,153390
2009-09,South,Southeast,406891
2009-09,Southeast,Central-West,321570
2009-09,Southeast,North,51723
2009-09,Southeast,Northeast,437296
2009-09,Southeast,South,412842
2009-09,Southeast,Southeast,1121766
2009-10,Central-West,Central-West,140000
2009-10,Central-West,North,91793
2009-10,Central-West,Northeast,145525
2009-10,Central-West,South,56117
2009-10,Central-West,Southeast,358830
2009-10,North,Central-West,89262
2009-10,North,North,168885
2009-10,North,Northeast,23377
2009-10,North,South,1416
2009-10,North,Southeast,56056
2009-10,Northeast,Central-West,152192
2009-10,Northeast,North,24569
2009-10,Northeast,Northeast,360992
2009-10,Northeast,South,17627
2009-10,Northeast,Southeast,505862
2009-10,South,Central-West,57642
2009-10,South,North,1402
2009-10,South,Northeast,17097
2009-10,South,South,181856
2009-10,South,Southeast,473157
2009-10,Southeast,Central-West,359924
2009-10,Southeast,North,59230
2009-10,Southeast,Northeast,512579
2009-10,Southeast,South,479581
2009-10,Southeast,Southeast,1206462
2009-11,Central-West,Central-West,129559
2009-11,Central-West,North,85995
2009-11,Central-West,Northeast,138494
2009-11,Central-West,South,58429
2009-11,Central-West,Southeast,346381
2009-11,North,Central-West,87599
2009-11,North,North,153304
2009-11,North,Northeast,23768
2009-11,North,South,1439
2009-11,North,Southeast,55537
2009-11,Northeast,Central-West,136389
2009-11,Northeast,North,23755
2009-11,Northeast,Northeast,327129
2009-11,Northeast,South,16382
2009-11,Northeast,Southeast,460920
2009-11,South,Central-West,54202
2009-11,South,North,1265
2009-11,South,Northeast,17765
2009-11,South,South,168700
2009-11,South,Southeast,448110
2009-11,Southeast,Central-West,331618
2009-11,Southeast,North,56401
2009-11,Southeast,Northeast,488591
2009-11,Southeast,South,451373
2009-11,Southeast,Southeast,1135735
2009-12,Central-West,Central-West,134777
2009-12,Central-West,North,105679
2009-12,Central-West,Northeast,131572
2009-12,Central-West,South,55389
2009-12,Central-West,Southeast,345737
2009-12,North,Central-West,89066
2009-12,North,North,176992
2009-12,North,Northeast,23041
2009-12,North,South,1533
2009-12,North,Southeast,56612
2009-12,Northeast,Central-West,188044
2009-12,Northeast,North,34448
2009-12,Northeast,Northeast,365563
2009-12,Northeast,South,23067
2009-12,Northeast,Southeast,655951
2009-12,South,Central-West,62465
2009-12,South,North,1944
2009-12,South,Northeast,21793
2009-12,South,South,164827
2009-12,South,Southeast,479246
2009-12,Southeast,Central-West,389371
2009-12,Southeast,North,72307
2009-12,Southeast,Northeast,520838
2009-12,Southeast,South,453576
2009-12,Southeast,Southeast,1147077
2010-01,Central-West,Central-West,129959
2010-01,Central-West,North,92760
2010-01,Central-West,Northeast,206216
2010-01,Central-West,South,56595
2010-01,Central-West,Southeast,379219
2010-01,North,Central-West,103353
2010-01,North,North,154793
2010-01,North,Northeast,37146
2010-01,North,South,1907
2010-01,North,Southeast,71726
2010-01,Northeast,Central-West,185093
2010-01,Northeast,North,34017
2010-01,Northeast,Northeast,387819
2010-01,Northeast,South,23364
2010-01,Northeast,Southeast,712473
2010-01,South,Central-West,43684
2010-01,South,North,1647
2010-01,South,Northeast,23754
2010-01,South,South,145226
2010-01,South,Southeast,439285
2010-01,Southeast,Central-West,327686
2010-01,Southeast,North,67276
2010-01,Southeast,Northeast,790688
2010-01,Southeast,South,492278
2010-01,Southeast,Southeast,1082935
2010-02,Central-West,Central-West,114358
2010-02,Central-West,North,80761
2010-02,Central-West,Northeast,156224
2010-02,Central-West,South,44775
2010-02,Central-West,Southeast,314781
2010-02,North,Central-West,87157
2010-02,North,North,138746
2010-02,North,Northeast,30179
2010-02,North,South,1370
2010-02,North,Southeast,56453
2010-02,Northeast,Central-West,134898
2010-02,Northeast,North,26763
2010-02,Northeast,Northeast,334068
2010-02,Northeast,South,15794
2010-02,Northeast,Southeast,530649
2010-02,South,Central-West,45527
2010-02,South,North,1443
2010-02,South,Northeast,19227
2010-02,South,South,146371
2010-02,South,Southeast,421962
2010-02,Southeast,Central-West,303393
2010-02,Southeast,North,55149
2010-02,Southeast,Northeast,615540
2010-02,Southeast,South,415258
2010-02,Southeast,Southeast,1009517
2010-03,Central-West,Central-West,143510
2010-03,Central-West,North,91126
2010-03,Central-West,Northeast,151040
2010-03,Central-West,South,51245
2010-03,Central-West,Southeast,358786
2010-03,North,Central-West,91107
2010-03,North,North,164009
2010-03,North,Northeast,23984
2010-03,North,South,1012
2010-03,North,Southeast,50981
2010-03,Northeast,Central-West,148093
2010-03,Northeast,North,26053
2010-03,Northeast,Northeast,413151
2010-03,Northeast,South,8653
2010-03,Northeast,Southeast,492432
2010-03,South,Central-West,53212
2010-03,South,North,1072
2010-03,South,Northeast,10737
2010-03,South,South,195806
2010-03,South,Southeast,476417
2010-03,Southeast,Central-West,353762
2010-03,Southeast,North,51708
2010-03,Southeast,Northeast,531313
2010-03,Southeast,South,466438
2010-03,Southeast,Southeast,1222105
2010-04,Central-West,Central-West,146317
2010-04,Central-West,North,88901
2010-04,Central-West,Northeast,140294
2010-04,Central-West,South,50983
2010-04,Central-West,Southeast,362522
2010-04,North,Central-West,89790
2010-04,North,North,157005
2010-04,North,Northeast,24447
2010-04,North,South,795
2010-04,North,Southeast,51321
2010-04,Northeast,Central-West,135899
2010-04,Northeast,North,24915
2010-04,Northeast,Northeast,387663
2010-04,Northeast,South,6986
2010-04,Northeast,Southeast,457986
2010-04,South,Central-West,51659
2010-04,South,North,831
2010-04,South,Northeast,8250
2010-04,South,South,187283
2010-04,South,Southeast,463274
2010-04,Southeast,Central-West,356841
2010-04,Southeast,North,51165
2010-04,Southeast,Northeast,486423
2010-04,Southeast,South,473070
2010-04,Southeast,Southeast,1165590
2010-05,Central-West,Central-West,145585
2010-05,Central-West,North,90439
2010-05,Central-West,Northeast,133433
2010-05,Central-West,South,53151
2010-05,Central-West,Southeast,366134
2010-05,North,Central-West,91317
2010-05,North,North,159826
2010-05,North,Northeast,22632
2010-05,North,South,837
2010-05,North,Southeast,50178
2010-05,Northeast,Central-West,136682
2010-05,Northeast,North,23911
2010-05,Northeast,Northeast,373489
2010-05,Northeast,South,7612
2010-05,Northeast,Southeast,428700
2010-05,South,Central-West,51979
2010-05,South,North,913
2010-05,South,Northeast,8193
2010-05,South,South,181710
2010-05,South,Southeast,458790
2010-05,Southeast,Central-West,357537
2010-05,Southeast,North,50097
2010-05,Southeast,Northeast,435018
2010-05,Southeast,South,468380
2010-05,Southeast,Southeast,1199954
2010-06,Central-West,Central-West,137999
2010-06,Central-West,North,95526
2010-06,Central-West,Northeast,141299
2010-06,Central-West,South,52447
2010-06,Central-West,Southeast,374290
2010-06,North,Central-West,95059
2010-06,North,North,180265
2010-06,North,Northeast,24724
2010-06,North,South,934
2010-06,North,Southeast,51739
2010-06,Northeast,Central-West,150266
2010-06,Northeast,North,29636
2010-06,Northeast,Northeast,400403
2010-06,Northeast,South,8872
2010-06,Northeast,Southeast,508059
2010-06,South,Central-West,51071
2010-06,South,North,883
2010-06,South,Northeast,9005
2010-06,South,South,176499
2010-06,South,Southeast,448791
2010-06,Southeast,Central-West,360724
2010-06,Southeast,North,52897
2010-06,Southeast,Northeast,470341
2010-06,Southeast,South,445058
2010-06,Southeast,Southeast,1141534
2010-07,Central-West,Central-West,147854
2010-07,Central-West,North,105344
2010-07,Central-West,Northeast,173624
2010-07,Central-West,South,58742
2010-07,Central-West,Southeast,418013
2010-07,North,Central-West,107609
2010-07,North,North,191760
2010-07,North,Northeast,37439
2010-07,North,South,1741
2010-07,North,Southeast,70209
2010-07,Northeast,Central-West,180656
2010-07,Northeast,North,39029
2010-07,Northeast,Northeast,372951
2010-07,Northeast,South,24049
2010-07,Northeast,Southeast,624069
2010-07,South,Central-West,58967
2010-07,South,North,1411
2010-07,South,Northeast,21932
2010-07,South,South,166255
2010-07,South,Southeast,504021
2010-07,Southeast,Central-West,410702
2010-07,Southeast,North,71883
2010-07,Southeast,Northeast,630555
2010-07,Southeast,South,518887
2010-07,Southeast,Southeast,1256044
2010-08,Central-West,Central-West,144423
2010-08,Central-West,North,102698
2010-08,Central-West,Northeast,160794
2010-08,Central-West,South,58402
2010-08,Central-West,Southeast,421206
2010-08,North,Central-West,104101
2010-08,North,North,178010
2010-08,North,Northeast,34239
2010-08,North,South,1675
2010-08,North,Southeast,68630
2010-08,Northeast,Central-West,153403
2010-08,Northeast,North,32887
2010-08,Northeast,Northeast,373840
2010-08,Northeast,South,18310
2010-08,Northeast,Southeast,529270
2010-08,South,Central-West,60422
2010-08,South,North,1702
2010-08,South,Northeast,21196
2010-08,South,South,180979
2010-08,South,Southeast,529874
2010-08,Southeast,Central-West,420137
2010-08,Southeast,North,71094
2010-08,Southeast,Northeast,582211
2010-08,Southeast,South,521034
2010-08,Southeast,Southeast,1297867
2010-09,Central-West,Central-West,132174
2010-09,Central-West,North,97789
2010-09,Central-West,Northeast,157075
2010-09,Central-West,South,56155
2010-09,Central-West,Southeast,409542
2010-09,North,Central-West,100432
2010-09,North,North,168643
2010-09,North,Northeast,32873
2010-09,North,South,1757
2010-09,North,Southeast,69366
2010-09,Northeast,Central-West,159964
2010-09,Northeast,North,31925
2010-09,Northeast,Northeast,384925
2010-09,Northeast,South,20776
2010-09,Northeast,Southeast,587712
2010-09,South,Central-West,58608
2010-09,South,North,1598
2010-09,South,Northeast,20581
2010-09,South,South,176928
2010-09,South,Southeast,538504
2010-09,Southeast,Central-West,407807
2010-09,Southeast,North,69666
2010-09,Southeast,Northeast,586948
2010-09,Southeast,South,541838
2010-09,Southeast,Southeast,1304759
2010-10,Central-West,Central-West,136879
2010-10,Central-West,North,101863
2010-10,Central-West,Northeast,154879
2010-10,Central-West,South,56428
2010-10,Central-West,Southeast,420343
2010-10,North,Central-West,100071
2010-10,North,North,174987
2010-10,North,Northeast,31204
2010-10,North,South,1442
2010-10,North,Southeast,67942
2010-10,Northeast,Central-West,157729
2010-10,Northeast,North,34384
2010-10,Northeast,Northeast,389425
2010-10,Northeast,South,16842
2010-10,Northeast,Southeast,615802
2010-10,South,Central-West,58253
2010-10,South,North,1435
2010-10,South,Northeast,17483
2010-10,South,South,184772
2010-10,South,Southeast,559921
2010-10,Southeast,Central-West,422391
2010-10,Southeast,North,72034
2010-10,Southeast,Northeast,619794
2010-10,Southeast,South,555799
2010-10,Southeast,Southeast,1333153
2010-11,Central-West,Central-West,136097
2010-11,Central-West,North,95612
2010-11,Central-West,Northeast,153708
2010-11,Central-West,South,61925
2010-11,Central-West,Southeast,418147
2010-11,North,Central-West,96007
2010-11,North,North,166736
2010-11,North,Northeast,29487
2010-11,North,South,1778
2010-11,North,Southeast,71072
2010-11,Northeast,Central-West,150709
2010-11,Northeast,North,28822
2010-11,Northeast,Northeast,376945
2010-11,Northeast,South,18047
2010-11,Northeast,Southeast,538553
2010-11,South,Central-West,59143
2010-11,South,North,1613
2010-11,South,Northeast,20282
2010-11,South,South,184109
2010-11,South,Southeast,555523
2010-11,Southeast,Central-West,400152
2010-11,Southeast,North,72551
2010-11,Southeast,Northeast,561665
2010-11,Southeast,South,549749
2010-11,Southeast,Southeast,1276496
2010-12,Central-West,Central-West,146388
2010-12,Central-West,North,117199
2010-12,Central-West,Northeast,145512
2010-12,Central-West,South,61154
2010-12,Central-West,Southeast,414728
2010-12,North,Central-West,101968
2010-12,North,North,194315
2010-12,North,Northeast,30731
2010-12,North,South,1525
2010-12,North,Southeast,73632
2010-12,Northeast,Central-West,199221
2010-12,Northeast,North,46155
2010-12,Northeast,Northeast,423165
2010-12,Northeast,South,22240
2010-12,Northeast,Southeast,781209
2010-12,South,Central-West,70672
2010-12,South,North,2143
2010-12,South,Northeast,18953
2010-12,South,South,179454
2010-12,South,Southeast,573360
2010-12,Southeast,Central-West,449377
2010-12,Southeast,North,86609
2010-12,Southeast,Northeast,605020
2010-12,Southeast,South,537526
2010-12,Southeast,Southeast,1253310
2011-01,Central-West,Central-West,140329
2011-01,Central-West,North,105094
2011-01,Central-West,Northeast,217126
2011-01,Central-West,South,68590
2011-01,Central-West,Southeast,456232
2011-01,North,Central-West,116988
2011-01,North,North,186674
2011-01,North,Northeast,50020
2011-01,North,South,2019
2011-01,North,Southeast,86780
2011-01,Northeast,Central-West,188040
2011-01,Northeast,North,42054
2011-01,Northeast,Northeast,460671
2011-01,Northeast,South,26917
2011-01,Northeast,Southeast,818428
2011-01,South,Central-West,55933
2011-01,South,North,1901
2011-01,South,Northeast,28573
2011-01,South,South,179458
2011-01,South,Southeast,546615
2011-01,Southeast,Central-West,407149
2011-01,Southeast,North,77876
2011-01,Southeast,Northeast,911287
2011-01,Southeast,South,600971
2011-01,Southeast,Southeast,1274472
2011-02,Central-West,Central-West,119452
2011-02,Central-West,North,87083
2011-02,Central-West,Northeast,155972
2011-02,Central-West,South,56046
2011-02,Central-West,Southeast,355711
2011-02,North,Central-West,95124
2011-02,North,North,160899
2011-02,North,Northeast,32906
2011-02,North,South,1546
2011-02,North,Southeast,61681
2011-02,Northeast,Central-West,132346
2011-02,Northeast,North,28733
2011-02,Northeast,Northeast,359790
2011-02,Northeast,South,17335
2011-02,Northeast,Southeast,548888
2011-02,South,Central-West,57999
2011-02,South,North,1237
2011-02,South,Northeast,21052
2011-02,South,South,186861
2011-02,South,Southeast,514509
2011-02,Southeast,Central-West,356062
2011-02,Southeast,North,62572
2011-02,Southeast,Northeast,639283
2011-02,Southeast,South,503657
2011-02,Southeast,Southeast,1193984
2011-03,Central-West,Central-West,135858
2011-03,Central-West,North,99600
2011-03,Central-West,Northeast,163603
2011-03,Central-West,South,62775
2011-03,Central-West,Southeast,423736
2011-03,North,Central-West,99165
2011-03,North,North,180092
2011-03,North,Northeast,37144
2011-03,North,South,1369
2011-03,North,Southeast,69634
2011-03,Northeast,Central-West,152727
2011-03,Northeast,North,36450
2011-03,Northeast,Northeast,436779
2011-03,Northeast,South,15402
2011-03,Northeast,Southeast,666752
2011-03,South,Central-West,62189
2011-03,South,North,1107
2011-03,South,Northeast,17778
2011-03,South,South,222503
2011-03,South,Southeast,592312
2011-03,Southeast,Central-West,421715
2011-03,Southeast,North,72683
2011-03,Southeast,Northeast,704523
2011-03,Southeast,South,596329
2011-03,Southeast,Southeast,1429141
2011-04,Central-West,Central-West,154855
2011-04,Central-West,North,104161
2011-04,Central-West,Northeast,155753
2011-04,Central-West,South,64711
2011-04,Central-West,Southeast,444708
2011-04,North,Central-West,103445
2011-04,North,North,181049
2011-04,North,Northeast,34865
2011-04,North,South,1477
2011-04,North,Southeast,72473
2011-04,Northeast,Central-West,157025
2011-04,Northeast,North,34075
2011-04,Northeast,Northeast,435907
2011-04,Northeast,South,15052
2011-04,Northeast,Southeast,639061
2011-04,South,Central-West,65345
2011-04,South,North,1352
2011-04,South,Northeast,15776
2011-04,South,South,222846
2011-04,South,Southeast,624228
2011-04,Southeast,Central-West,450629
2011-04,Southeast,North,76415
2011-04,Southeast,Northeast,650290
2011-04,Southeast,South,619260
2011-04,Southeast,Southeast,1479793
2011-05,Central-West,Central-West,148189
2011-05,Central-West,North,101222
2011-05,Central-West,Northeast,150380
2011-05,Central-West,South,67481
2011-05,Central-West,Southeast,438200
2011-05,North,Central-West,104578
2011-05,North,North,175087
2011-05,North,Northeast,34659
2011-05,North,South,1484
2011-05,North,Southeast,70876
2011-05,Northeast,Central-West,145384
2011-05,Northeast,North,31113
2011-05,Northeast,Northeast,418121
2011-05,Northeast,South,14710
2011-05,Northeast,Southeast,573763
2011-05,South,Central-West,64957
2011-05,South,North,1574
2011-05,South,Northeast,15370
2011-05,South,South,226392
2011-05,South,Southeast,604072
2011-05,Southeast,Central-West,427371
2011-05,Southeast,North,71698
2011-05,Southeast,Northeast,595472
2011-05,Southeast,South,610896
2011-05,Southeast,Southeast,1486874
2011-06,Central-West,Central-West,141377
2011-06,Central-West,North,103006
2011-06,Central-West,Northeast,143280
2011-06,Central-West,South,61313
2011-06,Central-West,Southeast,424155
2011-06,North,Central-West,100390
2011-06,North,North,186358
2011-06,North,Northeast,35010
2011-06,North,South,1297
2011-06,North,Southeast,69136
2011-06,Northeast,Central-West,152562
2011-06,Northeast,North,35429
2011-06,Northeast,Northeast,404896
2011-06,Northeast,South,13760
2011-06,Northeast,Southeast,615210
2011-06,South,Central-West,60459
2011-06,South,North,1462
2011-06,South,Northeast,14738
2011-06,South,South,196669
2011-06,South,Southeast,555039
2011-06,Southeast,Central-West,422992
2011-06,Southeast,North,74551
2011-06,Southeast,Northeast,562475
2011-06,Southeast,South,548672
2011-06,Southeast,Southeast,1396912
2011-07,Central-West,Central-West,164731
2011-07,Central-West,North,118405
2011-07,Central-West,Northeast,184821
2011-07,Central-West,South,73174
2011-07,Central-West,Southeast,501846
2011-07,North,Central-West,121205
2011-07,North,North,224289
2011-07,North,Northeast,51989
2011-07,North,South,1657
2011-07,North,Southeast,85238
2011-07,Northeast,Central-West,188740
2011-07,Northeast,North,53204
2011-07,Northeast,Northeast,470770
2011-07,Northeast,South,20052
2011-07,Northeast,Southeast,767192
2011-07,South,Central-West,68805
2011-07,South,North,1523
2011-07,South,Northeast,20275
2011-07,South,South,235758
2011-07,South,Southeast,642976
2011-07,Southeast,Central-West,497297
2011-07,Southeast,North,86638
2011-07,Southeast,Northeast,764936
2011-07,Southeast,South,658045
2011-07,Southeast,Southeast,1640714
2011-08,Central-West,Central-West,154922
2011-08,Central-West,North,112646
2011-08,Central-West,Northeast,176024
2011-08,Central-West,South,66217
2011-08,Central-West,Southeast,464910
2011-08,North,Central-West,112048
2011-08,North,North,210780
2011-08,North,Northeast,43657
2011-08,North,South,1846
2011-08,North,Southeast,78967
2011-08,Northeast,Central-West,164087
2011-08,Northeast,North,35660
2011-08,Northeast,Northeast,413839
2011-08,Northeast,South,13679
2011-08,Northeast,Southeast,599427
2011-08,South,Central-West,65716
2011-08,South,North,1747
2011-08,South,Northeast,15415
2011-08,South,South,228307
2011-08,South,Southeast,627980
2011-08,Southeast,Central-West,458306
2011-08,Southeast,North,83033
2011-08,Southeast,Northeast,656758
2011-08,Southeast,South,623350
2011-08,Southeast,Southeast,1604249
2011-09,Central-West,Central-West,148492
2011-09,Central-West,North,106742
2011-09,Central-West,Northeast,168283
2011-09,Central-West,South,65503
2011-09,Central-West,Southeast,441385
2011-09,North,Central-West,106048
2011-09,North,North,190444
2011-09,North,Northeast,38823
2011-09,North,South,1569
2011-09,North,Southeast,76662
2011-09,Northeast,Central-West,169516
2011-09,Northeast,North,35956
2011-09,Northeast,Northeast,398615
2011-09,Northeast,South,14732
2011-09,Northeast,Southeast,625221
2011-09,South,Central-West,67936
2011-09,South,North,1449
2011-09,South,Northeast,16213
2011-09,South,South,228422
2011-09,South,Southeast,625402
2011-09,Southeast,Central-West,450250
2011-09,Southeast,North,83735
2011-09,Southeast,Northeast,624269
2011-09,Southeast,South,628640
2011-09,Southeast,Southeast,1566910
2011-10,Central-West,Central-West,143717
2011-10,Central-West,North,102655
2011-10,Central-West,Northeast,174402
2011-10,Central-West,South,65138
2011-10,Central-West,Southeast,461512
2011-10,North,Central-West,104160
2011-10,North,North,194840
2011-10,North,Northeast,37373
2011-10,North,South,1632
2011-10,North,Southeast,81359
2011-10,Northeast,Central-West,173321
2011-10,Northeast,North,37680
2011-10,Northeast,Northeast,401701
2011-10,Northeast,South,13661
2011-10,Northeast,Southeast,646506
2011-10,South,Central-West,64901
2011-10,South,North,1190
2011-10,South,Northeast,14691
2011-10,South,South,223817
2011-10,South,Southeast,635751
2011-10,Southeast,Central-West,453527
2011-10,Southeast,North,84920
2011-10,Southeast,Northeast,648011
2011-10,Southeast,South,623917
2011-10,Southeast,Southeast,1583988
2011-11,Central-West,Central-West,143712
2011-11,Central-West,North,101688
2011-11,Central-West,Northeast,167472
2011-11,Central-West,South,68534
2011-11,Central-West,Southeast,445598
2011-11,North,Central-West,100983
2011-11,North,North,189087
2011-11,North,Northeast,34838
2011-11,North,South,1682
